what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1400946135415
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1400946135416
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1400946135417
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1400946135417
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1400946135417
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1400946135418
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1400946135419
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1400946135419
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1400946135419
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1400946135420
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1400946135420
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1400946135421
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1400946135421
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1400946135422
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1400946135422
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1400946135423
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1400946135423
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1400946135424
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1400946135424
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1400946135424
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1400946135425
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1400946135425
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1400946135425
os,sysinfo,,,"linux",1400946135428
arch,sysinfo,,,"x86",1400946135428
ws,sysinfo,,,"gtk",1400946135428
locale,sysinfo,,,"en_US",1400946135428
processors,sysinfo,,,"4",1400946135428
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1400946135428
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1400946135428
java.specification.name,sysinfo,,,"Java Platform API Specification",1400946135428
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1400946135428
java.specification.version,sysinfo,,,"1.6",1400946135428
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1400946135428
java.version,sysinfo,,,"1.6.0_23",1400946135428
java.vm.info,sysinfo,,,"mixed mode",1400946135428
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1400946135428
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1400946135428
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1400946135428
java.vm.specification.version,sysinfo,,,"1.0",1400946135428
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1400946135428
