what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1397588077296
error,log,,,"Core exception while retrieving the content description",1397588077297
error,log,,,"Core exception while retrieving the content description",1397588077300
error,log,,,"Core exception while retrieving the content description",1397588077301
error,log,,,"Core exception while retrieving the content description",1397588077303
error,log,,,"Core exception while retrieving the content description",1397588077304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1397588078880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588085259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588086164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588086184
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1397588089181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588089200
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588089935
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588092649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588095278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588095582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588104632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588169686
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588173995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397588175801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588176325
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588178437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588184794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588185181
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588187983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1397588199182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1397588199501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588202409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588211780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588223186
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588224794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588232711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588234011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588234100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588235912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588243061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588471702
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588494122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588527130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588532816
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588534376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588536711
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1397588537507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588537533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588538356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588540009
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588543149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588545646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588547619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588549638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588551032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588551143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588553127
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1397588556403
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1397588565706
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1397588568706
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1397588570594
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1397588574194
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1397588575811
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588576836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588578582
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588581435
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588582335
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588583449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588585228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588585559
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588587410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588589335
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588591647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588593078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588593947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588594627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588595013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588598952
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1397588599630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588599652
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588600500
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588600973
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588604028
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588604047
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588607876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588610578
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1397588611262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588611285
error,log,,,"Internal Error",1397588611904
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588614110
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588614579
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588617622
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588617646
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588627098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588633257
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588635819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588642564
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1397588643812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588643841
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588644694
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588645169
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588648231
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588648259
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588655770
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588657272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588660820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588673962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588682061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588687252
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588688530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588690879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588691201
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397588695990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397588702357
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397588704363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588706219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588707126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588707808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588709842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588727398
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1397588728086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397588728109
error,log,,,"Internal Error",1397588728829
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588731046
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588731518
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1397588734548
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397588734576
