what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"gtk",1403450304118
locale,sysinfo,,,"en_US",1403450304118
processors,sysinfo,,,"4",1403450304118
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403450304118
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1403450304118
java.specification.name,sysinfo,,,"Java Platform API Specification",1403450304118
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403450304118
java.specification.version,sysinfo,,,"1.6",1403450304118
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403450304118
java.version,sysinfo,,,"1.6.0_23",1403450304118
java.vm.info,sysinfo,,,"mixed mode",1403450304118
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1403450304118
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403450304118
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403450304118
java.vm.specification.version,sysinfo,,,"1.0",1403450304118
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403450304118
java.vm.version,sysinfo,,,"19.0-b09",1403450304118
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1403450304125
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403450305059
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1403450305607
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1403450305888
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1403450306931
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1403450309644
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1403450309646
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1403450309648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403450309776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403450311141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403450316017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403450317454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403450325893
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1403450326758
