what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"gtk",1403438845812
locale,sysinfo,,,"en_US",1403438845812
processors,sysinfo,,,"4",1403438845812
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403438845812
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1403438845812
java.specification.name,sysinfo,,,"Java Platform API Specification",1403438845812
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403438845812
java.specification.version,sysinfo,,,"1.6",1403438845812
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403438845812
java.version,sysinfo,,,"1.6.0_23",1403438845812
java.vm.info,sysinfo,,,"mixed mode",1403438845812
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1403438845812
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403438845812
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403438845812
java.vm.specification.version,sysinfo,,,"1.0",1403438845812
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403438845812
java.vm.version,sysinfo,,,"19.0-b09",1403438845812
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1403438845886
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403438845889
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1403438846392
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1403438846437
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1403438848615
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1403438851433
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1403438851434
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1403438851435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403438851488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403438851835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403438856852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403438860601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403438864847
