what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1403437517052
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1403437517053
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1403437517054
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1403437517054
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1403437517054
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1403437517055
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1403437517056
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1403437517056
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1403437517057
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1403437517057
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1403437517058
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1403437517058
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1403437517059
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1403437517060
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1403437517060
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1403437517061
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1403437517062
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1403437517062
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1403437517063
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1403437517063
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1403437517064
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1403437517064
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1403437517064
os,sysinfo,,,"linux",1403437517067
arch,sysinfo,,,"x86",1403437517067
ws,sysinfo,,,"gtk",1403437517067
locale,sysinfo,,,"en_US",1403437517067
processors,sysinfo,,,"4",1403437517067
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403437517067
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1403437517067
java.specification.name,sysinfo,,,"Java Platform API Specification",1403437517067
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403437517067
java.specification.version,sysinfo,,,"1.6",1403437517067
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403437517067
java.version,sysinfo,,,"1.6.0_23",1403437517067
java.vm.info,sysinfo,,,"mixed mode",1403437517067
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1403437517067
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403437517067
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403437517067
java.vm.specification.version,sysinfo,,,"1.0",1403437517067
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403437517067
java.vm.version,sysinfo,,,"19.0-b09",1403437517067
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1403437517239
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403437518171
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1403437520231
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1403437520489
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1403437520535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437524071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437525206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437529528
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1403437535440
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1403437535441
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1403437536075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437536268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437536393
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1403437540075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437540094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437542406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437545504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437546344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403437550392
