what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449665164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449667923
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403449667935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449668109
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449670631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449670662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449670664
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449670679
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449691354
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449691378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449696151
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449696178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449697428
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449697461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449700455
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449700481
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403449700561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1403449710690
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449713005
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449713030
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403449713051
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449716307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449719618
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449723108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449723146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449723148
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449723163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449726523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449726606
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449728337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449728365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449728366
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449728381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449739740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449739837
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449749319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449749353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449749354
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449749367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449752105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449752175
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449754984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449755026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449755029
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449755058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449757044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449757119
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449759712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449759739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449759740
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449759760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449761477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449761559
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449763520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449763547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449763550
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449763562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449765039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449765121
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449766494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449766527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449766528
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403449766541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449767517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449767599
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1403449769156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403449769180
